Streaming output truncated to the last 5000 lines.
Iteration 114: Best Cost = 543.0, Tabu Size = 112
Iteration 115: Best Cost = 543.0, Tabu Size = 113
Iteration 116: Best Cost = 542.0, Tabu Size = 114
Iteration 117: Best Cost = 542.0, Tabu Size = 115
Iteration 118: Best Cost = 539.0, Tabu Size = 116
Iteration 119: Best Cost = 539.0, Tabu Size = 117
Iteration 120: Best Cost = 539.0, Tabu Size = 118
Iteration 121: Best Cost = 539.0, Tabu Size = 119
Iteration 122: Best Cost = 539.0, Tabu Size = 120
Iteration 123: Best Cost = 539.0, Tabu Size = 121
Iteration 124: Best Cost = 539.0, Tabu Size = 122
Iteration 125: Best Cost = 539.0, Tabu Size = 123
Iteration 126: Best Cost = 539.0, Tabu Size = 124
Iteration 127: Best Cost = 539.0, Tabu Size = 125
Iteration 128: Best Cost = 539.0, Tabu Size = 126
Iteration 129: Best Cost = 539.0, Tabu Size = 127
Iteration 130: Best Cost = 539.0, Tabu Size = 128
Iteration 131: Best Cost = 539.0, Tabu Size = 129
Iteration 132: Best Cost = 539.0, Tabu Size = 130
Iteration 133: Best Cost = 539.0, Tabu Size = 131
Iteration 134: Best Cost = 535.0, Tabu Size = 132
Iteration 135: Best Cost = 532.0, Tabu Size = 133
Iteration 136: Best Cost = 523.0, Tabu Size = 134
Iteration 137: Best Cost = 516.0, Tabu Size = 135
Iteration 138: Best Cost = 513.0, Tabu Size = 136
Iteration 139: Best Cost = 513.0, Tabu Size = 137
Iteration 140: Best Cost = 513.0, Tabu Size = 138
Iteration 141: Best Cost = 513.0, Tabu Size = 139
Iteration 142: Best Cost = 513.0, Tabu Size = 140
Iteration 143: Best Cost = 513.0, Tabu Size = 141
Iteration 144: Best Cost = 513.0, Tabu Size = 142
Iteration 145: Best Cost = 513.0, Tabu Size = 143
Iteration 146: Best Cost = 513.0, Tabu Size = 144
Iteration 147: Best Cost = 513.0, Tabu Size = 145
Iteration 148: Best Cost = 513.0, Tabu Size = 146
Iteration 149: Best Cost = 513.0, Tabu Size = 147
Iteration 150: Best Cost = 513.0, Tabu Size = 148
Iteration 151: Best Cost = 513.0, Tabu Size = 149
Iteration 152: Best Cost = 513.0, Tabu Size = 150
Iteration 153: Best Cost = 513.0, Tabu Size = 151
Iteration 154: Best Cost = 513.0, Tabu Size = 152
Iteration 155: Best Cost = 513.0, Tabu Size = 153
Iteration 156: Best Cost = 513.0, Tabu Size = 154
Iteration 157: Best Cost = 513.0, Tabu Size = 155
Iteration 158: Best Cost = 513.0, Tabu Size = 156
Iteration 159: Best Cost = 513.0, Tabu Size = 157
Iteration 160: Best Cost = 513.0, Tabu Size = 158
Iteration 161: Best Cost = 513.0, Tabu Size = 159
Iteration 162: Best Cost = 513.0, Tabu Size = 160
Iteration 163: Best Cost = 513.0, Tabu Size = 161
Iteration 164: Best Cost = 513.0, Tabu Size = 162
Iteration 165: Best Cost = 513.0, Tabu Size = 163
Iteration 166: Best Cost = 513.0, Tabu Size = 164
Iteration 167: Best Cost = 513.0, Tabu Size = 165
Iteration 168: Best Cost = 513.0, Tabu Size = 166
Iteration 169: Best Cost = 513.0, Tabu Size = 167
Iteration 170: Best Cost = 513.0, Tabu Size = 168
Iteration 171: Best Cost = 513.0, Tabu Size = 169
Iteration 172: Best Cost = 513.0, Tabu Size = 170
Iteration 173: Best Cost = 513.0, Tabu Size = 171
Iteration 174: Best Cost = 513.0, Tabu Size = 172
Iteration 175: Best Cost = 513.0, Tabu Size = 173
Iteration 176: Best Cost = 513.0, Tabu Size = 174
Iteration 177: Best Cost = 513.0, Tabu Size = 175
Iteration 178: Best Cost = 513.0, Tabu Size = 176
Iteration 179: Best Cost = 513.0, Tabu Size = 177
Iteration 180: Best Cost = 513.0, Tabu Size = 178
Iteration 181: Best Cost = 513.0, Tabu Size = 178
Iteration 182: Best Cost = 513.0, Tabu Size = 179
Iteration 183: Best Cost = 513.0, Tabu Size = 180
Iteration 184: Best Cost = 513.0, Tabu Size = 181
Iteration 185: Best Cost = 513.0, Tabu Size = 182
Iteration 186: Best Cost = 513.0, Tabu Size = 183
Iteration 187: Best Cost = 513.0, Tabu Size = 184
Iteration 188: Best Cost = 513.0, Tabu Size = 185
Iteration 189: Best Cost = 513.0, Tabu Size = 186
Iteration 190: Best Cost = 513.0, Tabu Size = 186
Iteration 191: Best Cost = 513.0, Tabu Size = 186
Iteration 192: Best Cost = 513.0, Tabu Size = 187
Iteration 193: Best Cost = 513.0, Tabu Size = 188
Iteration 194: Best Cost = 513.0, Tabu Size = 189
Iteration 195: Best Cost = 513.0, Tabu Size = 190
Iteration 196: Best Cost = 513.0, Tabu Size = 191
Iteration 197: Best Cost = 513.0, Tabu Size = 192
Iteration 198: Best Cost = 513.0, Tabu Size = 193
Iteration 199: Best Cost = 513.0, Tabu Size = 193
Iteration 200: Best Cost = 513.0, Tabu Size = 194
Iteration 201: Best Cost = 512.0, Tabu Size = 195
Iteration 202: Best Cost = 512.0, Tabu Size = 196
Iteration 203: Best Cost = 510.0, Tabu Size = 197
Iteration 204: Best Cost = 507.0, Tabu Size = 198
Iteration 205: Best Cost = 507.0, Tabu Size = 199
Iteration 206: Best Cost = 507.0, Tabu Size = 200
Iteration 207: Best Cost = 507.0, Tabu Size = 201
Iteration 208: Best Cost = 507.0, Tabu Size = 202
Iteration 209: Best Cost = 497.0, Tabu Size = 203
Iteration 210: Best Cost = 497.0, Tabu Size = 204
Iteration 211: Best Cost = 497.0, Tabu Size = 205
Iteration 212: Best Cost = 497.0, Tabu Size = 206
Iteration 213: Best Cost = 497.0, Tabu Size = 207
Iteration 214: Best Cost = 497.0, Tabu Size = 208
Iteration 215: Best Cost = 497.0, Tabu Size = 209
Iteration 216: Best Cost = 497.0, Tabu Size = 210
Iteration 217: Best Cost = 497.0, Tabu Size = 211
Iteration 218: Best Cost = 497.0, Tabu Size = 211
Iteration 219: Best Cost = 497.0, Tabu Size = 212
Iteration 220: Best Cost = 497.0, Tabu Size = 213
Iteration 221: Best Cost = 497.0, Tabu Size = 214
Iteration 222: Best Cost = 497.0, Tabu Size = 215
Iteration 223: Best Cost = 497.0, Tabu Size = 215
Iteration 224: Best Cost = 497.0, Tabu Size = 215
Iteration 225: Best Cost = 497.0, Tabu Size = 215
Iteration 226: Best Cost = 497.0, Tabu Size = 215
Iteration 227: Best Cost = 497.0, Tabu Size = 215
Iteration 228: Best Cost = 497.0, Tabu Size = 215
Iteration 229: Best Cost = 497.0, Tabu Size = 215
Iteration 230: Best Cost = 497.0, Tabu Size = 215
Iteration 231: Best Cost = 497.0, Tabu Size = 215
Iteration 232: Best Cost = 497.0, Tabu Size = 215
Iteration 233: Best Cost = 497.0, Tabu Size = 215
Iteration 234: Best Cost = 497.0, Tabu Size = 215
Iteration 235: Best Cost = 497.0, Tabu Size = 216
Iteration 236: Best Cost = 497.0, Tabu Size = 217
Iteration 237: Best Cost = 497.0, Tabu Size = 218
Iteration 238: Best Cost = 497.0, Tabu Size = 219
Iteration 239: Best Cost = 497.0, Tabu Size = 220
Iteration 240: Best Cost = 497.0, Tabu Size = 221
Iteration 241: Best Cost = 497.0, Tabu Size = 222
Iteration 242: Best Cost = 497.0, Tabu Size = 223
Iteration 243: Best Cost = 497.0, Tabu Size = 223
Iteration 244: Best Cost = 497.0, Tabu Size = 223
Iteration 245: Best Cost = 497.0, Tabu Size = 223
Iteration 246: Best Cost = 497.0, Tabu Size = 223
Iteration 247: Best Cost = 497.0, Tabu Size = 223
